type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,category,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
talk,NA,2015-11-18,NA,Two-stage Bayesian variable selection for linear models using I-priors,NA,NA,"LSE, London, UK",Postgraduate Research Seminar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2016-11-03,NA,I-priors in Bayesian Variable Selection: From Reproducing Kernel Hilbert Spaces to Hamiltonian Monte Carlo,NA,NA,"LSE, London, UK",Social Statistics Group Meetings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2017-05-08,NA,Binary probit regression with I-priors,NA,NA,"LSE, London, UK",Department of Statistics PhD Presentation Event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2018-02-01,NA,A Beginner's Guide to Variational Inference,NA,NA,"LSE, London, UK",Social Statistics Group Meetings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2018-12-04,NA,A Brief Guide to Variational Inference,NA,NA,"UBD, Brunei",FOS Research Seminar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2019-01-25,NA,Misconceptions in Demography,NA,NA,"Ministry of Defence, Brunei",CSTRAD Sharing Session,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2019-11-13,NA,Bayesian Variable Selection for Linear Models,NA,NA,"UBD, Brunei",UBDSBE Seminar Invitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2020-05-28,NA,Investigating the effect of load carriage on soldiers’ performances using structural equation models,NA,NA,"LSE, London, UK",Social Statistics Group Meetings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
talk,NA,2020-11-19,NA,A latent variable model for maximal performance testing with dropouts for military applications,NA,NA,"UBD, Brunei",IADA Seminar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
poster,NA,2018-03-27,NA,Binary and Multinomial Regression using Fisher Information Covariance Kernels (I-priors),NA,NA,"LSE, London, UK",Inaugural Workshop on Data Science Theory and Practice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
poster,NA,2017-07-18,NA,Regression Modelling with I-Priors,NA,NA,"University of Zürich, Switzerland",International Meeting of the Psychometric Society (IMPS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
poster,NA,2017-12-01,NA,Can data science help identify potential drivers of extremism?,NA,NA,"The Alan Turing Institute, London, UK",Turing Data Study Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
consultancy,NA,2017-01-01,2018-01-01,Data Analyst and Consultant,NA,NA,NA,Universiti Brunei Darussalam,Project: The unmet needs of cancer carers in Brunei Darussalam.,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
consultancy,NA,2021-01-01,2021-01-10,Data Analytics Consultant,NA,NA,NA,"Ministry of Defence, Brunei",Project: Human performance optimisation research,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA
skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
